bay,ten_thiet_bi,model,device_type,in_a,poles,qty,manufacturer,code,modules,ghi_chu
NGĂN 1,Thanh cái đồng 3P+N,BW63 3P+N,BUSBAR,100,4,1,Schneider,BW63,12,Thanh cái 100A toàn ngăn
NGĂN 1B,MCCB tổng,EasyPact CVS100F,MCCB,100,3,1,Schneider,LV510347,4,MCCB nguồn vào
NGĂN 1B,MCB dự phòng,Easy9,MCB 1P,32,1,2,Schneider,EZ9F34132,1,
NGĂN 2,Busbar comb 1P,PKS60F/12,BUSBAR_COMB,60,1,1,Schneider,PKS60F12,12,Comb 12 cực 1P
NGĂN 2,MCB chiếu sáng,Easy9,MCB 1P,10,1,4,Schneider,EZ9F34110,1,
NGĂN 2,MCB ổ cắm,Easy9,MCB 1P,16,1,4,Schneider,EZ9F34116,1,
NGĂN 2,MCB điều hòa,Easy9,MCB 1P,20,1,4,Schneider,EZ9F34120,1,
NGĂN 2,MCB 3P phân phối,Easy9,MCB 3P,16,3,2,Schneider,EZ9F34316,3,
NGĂN 2,MCB 3P 32A,iC60N,MCB 3P,32,3,1,Schneider,A9F74332,3,
NGĂN 3,Contactor bơm,GMC-25,CONTACTOR,25,3,2,LS,MC-025a,4,
NGĂN 3,Relay nhiệt,MT-32,RELAY,25,3,2,LS,MT-32/3H,3,
NGĂN 3,Timer điều khiển,RE17RAMU,TIMER,0,0,1,Schneider,RE17RAMU,4,
NGĂN 3,Đồng hồ Ampe,PM5560,METER,100,3,1,Schneider,METSEPM5560,6,
